Strain Assessment Type,0,ASME 2016
Calculation Mode,      1, calculated circ and axial. 
Axial smooth factor,   0.001
Circ smooth factor,    0.0001
Channels analysed, 29, 30, 31, 32, 33, 34, 
Intermed circ traces,5
Wall Thickness,    6.350000 mm, 0.250000 in 
OD,                323.850000 mm, 12.750000 in 
Axial Disp  (m)
No of rows, 321, no of cols, 7 
           0.000000000000000,   4.987993877991491,   5.118893571891066,   5.249793265790641,   5.380692959690215,   5.511592653589790,   5.642492347489364, 
        6277.242309600000226,   0.000098573783397,  -0.000553956845749,  -0.001482508504822,   0.000000000000000,  -0.000503842530401,  -0.000165281869704, 
        6277.244138400001248,   0.000097993033582,  -0.000558890935806,  -0.001496673564224,   0.000000000000000,  -0.000508654362165,  -0.000164274571580, 
        6277.246272000000317,   0.000097322285284,  -0.000564749704953,  -0.001513340880461,   0.000000000000000,  -0.000514377576299,  -0.000163055112617, 
        6277.248405600000297,   0.000096657533549,  -0.000570722109666,  -0.001530160098732,   0.000000000000000,  -0.000520217870081,  -0.000161787731299, 
        6277.250234399999499,   0.000096091388902,  -0.000575934119902,  -0.001544696796625,   0.000000000000000,  -0.000525316293222,  -0.000160663378402, 
        6277.252368000000388,   0.000095434478854,  -0.000582125585204,  -0.001561795420651,   0.000000000000000,  -0.000531371264590,  -0.000159307644253, 
        6277.254196800000500,   0.000094874289243,  -0.000587529121713,  -0.001576569162088,   0.000000000000000,  -0.000536651729133,  -0.000158108119673, 
        6277.256330399999570,   0.000094224072667,  -0.000593947717027,  -0.001593940483466,   0.000000000000000,  -0.000542916397179,  -0.000156665432785, 
        6277.258159200000591,   0.000093669664399,  -0.000599548985943,  -0.001608944553886,   0.000000000000000,  -0.000548374384554,  -0.000155392174070, 
        6277.260292800000570,   0.000093026384873,  -0.000606201879415,  -0.001626580434769,   0.000000000000000,  -0.000554843795331,  -0.000153864688843, 
        6277.262426400000550,   0.000092387086712,  -0.000612983818339,  -0.001644354473907,   0.000000000000000,  -0.000561421800259,  -0.000152292762498, 
        6277.264255200000662,   0.000091842440761,  -0.000618900669925,  -0.001659696420401,   0.000000000000000,  -0.000567146071325,  -0.000150910663611, 
        6277.266388799999731,   0.000091211090356,  -0.000625925750891,  -0.001677716670262,   0.000000000000000,  -0.000573924511840,  -0.000149258658510, 
        6277.268217599999844,   0.000090673678329,  -0.000632052623199,  -0.001693263570828,   0.000000000000000,  -0.000579820510532,  -0.000147809266460, 
        6277.270351200000732,   0.000090052037464,  -0.000639324272493,  -0.001711515843807,   0.000000000000000,  -0.000586799740419,  -0.000146080265257, 
        6277.272179999999935,   0.000089525098261,  -0.000645663451501,  -0.001727255432806,   0.000000000000000,  -0.000592868650761,  -0.000144566358816, 
        6277.274313599999914,   0.000088918911407,  -0.000653183401765,  -0.001745725026902,   0.000000000000000,  -0.000600051459116,  -0.000142763255017, 
